epoch,split,loss,accuracy,precision,recall,f1,mcc,auroc,auprc,tp,fp,tn,fn
84,train,0.002637,0.999276,0.915766,0.960831,0.937757,0.937663,0.999735,0.984537,187091,17209,33769073,7627
84,val,0.146376,0.993283,0.204278,0.056585,0.088622,0.104887,0.601206,0.042356,2760,10751,8470973,46016
85,train,0.002622,0.999273,0.915635,0.961709,0.938106,0.938027,0.999833,0.984502,187262,17254,33769028,7456
85,val,0.15008,0.993236,0.208915,0.061977,0.095595,0.111087,0.600788,0.043819,3023,11447,8470277,45753
86,train,0.00248,0.999318,0.921723,0.96478,0.94276,0.942671,0.999733,0.98702,187860,15954,33770328,6858
86,val,0.157857,0.993495,0.216803,0.047933,0.078509,0.099601,0.586822,0.038785,2338,8446,8473278,46438
87,train,0.002625,0.999299,0.920484,0.960358,0.939998,0.939859,0.999478,0.985467,186999,16154,33770128,7719
87,val,0.141514,0.993059,0.202491,0.068661,0.102549,0.115023,0.609684,0.046631,3349,13190,8468534,45427
88,train,0.002723,0.999264,0.915847,0.960112,0.937457,0.937352,0.999373,0.983699,186951,17178,33769104,7767
88,val,0.154807,0.993508,0.22212,0.049615,0.081111,0.102635,0.589133,0.041307,2420,8475,8473249,46356
89,train,0.002711,0.999265,0.916757,0.957148,0.936517,0.936364,0.999643,0.984242,186374,16923,33769359,8344
89,val,0.145447,0.99317,0.207047,0.065052,0.099,0.113277,0.605319,0.044411,3173,12152,8469572,45603
90,train,0.002275,0.99938,0.926279,0.967004,0.946203,0.946108,0.999869,0.988158,188293,14986,33771296,6425
90,val,0.147169,0.993213,0.207608,0.062326,0.09587,0.111031,0.601589,0.043609,3040,11603,8470121,45736
91,train,0.00207,0.99944,0.93493,0.969587,0.951943,0.95182,0.999878,0.990694,188796,13140,33773142,5922
91,val,0.154111,0.993264,0.208246,0.059127,0.092104,0.108315,0.593841,0.041209,2884,10965,8470759,45892
92,train,0.001965,0.999484,0.940437,0.971338,0.955638,0.955504,0.999711,0.991511,189137,11979,33774303,5581
92,val,0.157466,0.993373,0.21112,0.053715,0.085641,0.10398,0.590517,0.040675,2620,9790,8471934,46156
93,train,0.001837,0.99952,0.942693,0.974235,0.958204,0.958091,0.999922,0.992323,189701,11532,33774750,5017
93,val,0.159628,0.993285,0.210734,0.059168,0.092395,0.109033,0.592005,0.041382,2886,10809,8470915,45890
94,train,0.001737,0.99954,0.946134,0.975755,0.960716,0.960602,0.999905,0.993364,189997,10817,33775465,4721
94,val,0.164764,0.993198,0.21021,0.064499,0.09871,0.113698,0.592408,0.042434,3146,11820,8469904,45630
95,train,0.001838,0.999522,0.944721,0.975364,0.959798,0.959686,0.999704,0.992831,189921,11113,33775169,4797
95,val,0.166617,0.993443,0.214161,0.050414,0.081616,0.101492,0.581144,0.037741,2459,9023,8472701,46317
96,train,0.002228,0.99941,0.933534,0.965263,0.949133,0.948969,0.999521,0.988794,187954,13382,33772900,6764
96,val,0.153735,0.993129,0.203296,0.064991,0.098495,0.112136,0.601235,0.043114,3170,12423,8469301,45606
97,train,0.002135,0.99943,0.934679,0.968539,0.951308,0.951174,0.999772,0.990185,188592,13180,33773102,6126
97,val,0.150674,0.993034,0.194557,0.065811,0.098353,0.110251,0.603476,0.043383,3210,13289,8468435,45566
98,train,0.001966,0.999479,0.937785,0.971965,0.954569,0.954457,0.999804,0.990832,189259,12556,33773726,5459
98,val,0.159775,0.99328,0.205225,0.057016,0.089239,0.105543,0.588608,0.038838,2781,10770,8470954,45995
99,train,0.001775,0.999549,0.94714,0.976515,0.961603,0.961492,0.999605,0.992541,190145,10612,33775670,4573
99,val,0.163279,0.993286,0.206835,0.057446,0.089919,0.10638,0.588144,0.039411,2802,10745,8470979,45974
