epoch,split,loss,accuracy,precision,recall,f1,mcc,tp,fp,tn,fn
47,train,0.001032,0.999789,0.602282,0.434877,0.50507,0.511679,45703,30180,424744382,59391
47,val,0.002162,0.999776,0.597315,0.253347,0.355788,0.388917,6586,4440,106320452,19410
48,train,0.001023,0.99979,0.602103,0.439692,0.508238,0.514428,46209,30537,424744025,58885
48,val,0.002165,0.999773,0.582444,0.260348,0.359847,0.389313,6768,4852,106320040,19228
49,train,0.000989,0.999793,0.607557,0.456839,0.521527,0.526735,48011,31012,424743550,57083
49,val,0.002166,0.999781,0.636086,0.240037,0.348545,0.390664,6240,3570,106321322,19756
50,train,0.000971,0.999795,0.612812,0.4676,0.530448,0.535205,49142,31049,424743513,55952
50,val,0.002232,0.999778,0.60642,0.261617,0.365537,0.398218,6801,4414,106320478,19195
51,train,0.000952,0.999796,0.61478,0.475098,0.535988,0.540346,49930,31286,424743276,55164
51,val,0.002271,0.999782,0.653376,0.234498,0.345128,0.391346,6096,3234,106321658,19900
52,train,0.00094,0.9998,0.621868,0.487706,0.546676,0.550619,51255,31166,424743396,53839
52,val,0.002259,0.999777,0.598891,0.270118,0.372313,0.402116,7022,4703,106320189,18974
53,train,0.000916,0.999802,0.625946,0.497402,0.55432,0.557888,52274,31238,424743324,52820
53,val,0.002209,0.999782,0.625271,0.277735,0.384626,0.416635,7220,4327,106320565,18776
54,train,0.000892,0.999804,0.627821,0.511599,0.563783,0.566643,53766,31873,424742689,51328
54,val,0.002226,0.999781,0.613609,0.279235,0.38381,0.413843,7259,4571,106320321,18737
55,train,0.000879,0.999807,0.634157,0.518174,0.570329,0.573145,54457,31416,424743146,50637
55,val,0.002203,0.999776,0.580666,0.304316,0.399344,0.420266,7911,5713,106319179,18085
56,train,0.000867,0.999809,0.636726,0.52767,0.577091,0.579545,55455,31639,424742923,49639
56,val,0.002337,0.999783,0.629993,0.279081,0.38681,0.419219,7255,4261,106320631,18741
57,train,0.000838,0.999813,0.643777,0.543352,0.589316,0.591344,57103,31597,424742965,47991
57,val,0.002187,0.99978,0.590038,0.325819,0.419816,0.43836,8470,5885,106319007,17526
58,train,0.000827,0.999813,0.643548,0.549698,0.592932,0.594683,57770,31998,424742564,47324
58,val,0.002312,0.999788,0.661379,0.279043,0.39249,0.429512,7254,3714,106321178,18742
59,train,0.000809,0.999817,0.650491,0.560593,0.602206,0.603781,58915,31655,424742907,46179
59,val,0.002313,0.999791,0.67119,0.285429,0.400529,0.437612,7420,3635,106321257,18576
60,train,0.000806,0.999817,0.651794,0.561573,0.60333,0.604914,59018,31529,424743033,46076
60,val,0.002252,0.999785,0.621478,0.315664,0.418673,0.442828,8206,4998,106319894,17790
61,train,0.000778,0.99982,0.655539,0.578492,0.61461,0.615723,60796,31946,424742616,44298
